time,open,high,low,close,volume
2020-04-10 04:00,1.09427,1.09427,1.09367,1.09379,3836
2020-04-10 05:00,1.09378,1.09421,1.09277,1.09397,3530
2020-04-10 06:00,1.09398,1.09492,1.09388,1.09478,2616
2020-04-10 07:00,1.09477,1.09517,1.09350,1.09374,7423
2020-04-10 08:00,1.09375,1.09471,1.09371,1.09423,12483
2020-04-10 09:00,1.09423,1.09479,1.09419,1.09448,6163
2020-04-10 10:00,1.09448,1.09474,1.09394,1.09410,2352
2020-04-10 11:00,1.09409,1.09420,1.09363,1.09370,3536
2020-04-10 12:00,1.09370,1.09444,1.09369,1.09428,9086
2020-04-10 13:00,1.09427,1.09492,1.09418,1.09450,7324
2020-04-10 14:00,1.09451,1.09511,1.09444,1.09511,3629
2020-04-10 15:00,1.09508,1.09514,1.09436,1.09483,17092
2020-04-10 16:00,1.09481,1.09524,1.09471,1.09481,14635
2020-04-10 17:00,1.09480,1.09482,1.09324,1.09327,6910
2020-04-10 18:00,1.09326,1.09372,1.09325,1.09336,3690
2020-04-10 19:00,1.09336,1.09388,1.09325,1.09363,3685
2020-04-10 20:00,1.09362,1.09397,1.09311,1.09326,23649
2020-04-12 21:00,1.09482,1.09482,1.09364,1.09409,133
2020-04-12 22:00,1.09409,1.09409,1.09325,1.09362,4904
2020-04-12 23:00,1.09363,1.09366,1.09304,1.09315,2158
2020-04-13 00:00,1.09314,1.09379,1.09283,1.09299,4628
2020-04-13 01:00,1.09298,1.09420,1.09273,1.09313,5049
2020-04-13 02:00,1.09313,1.09313,1.09249,1.09289,3036
2020-04-13 03:00,1.09289,1.09351,1.09256,1.09333,2164
2020-04-13 04:00,1.09333,1.09387,1.09333,1.09367,2633
2020-04-13 05:00,1.09366,1.09403,1.09332,1.09337,1893
2020-04-13 06:00,1.09338,1.09663,1.09335,1.09619,8298
2020-04-13 07:00,1.09617,1.09678,1.09439,1.09465,9575
2020-04-13 08:00,1.09465,1.09470,1.09272,1.09312,10985
2020-04-13 09:00,1.09312,1.09387,1.09303,1.09384,4273
2020-04-13 10:00,1.09385,1.09386,1.09032,1.09139,10000
2020-04-13 11:00,1.09137,1.09313,1.09092,1.09301,7430
2020-04-13 12:00,1.09300,1.09314,1.09170,1.09223,13304
2020-04-13 13:00,1.09225,1.09233,1.09050,1.09107,13679
2020-04-13 14:00,1.09105,1.09183,1.08966,1.09001,15993
2020-04-13 15:00,1.09000,1.09082,1.08926,1.09054,11633
2020-04-13 16:00,1.09055,1.09187,1.09038,1.09169,8228
2020-04-13 17:00,1.09168,1.09241,1.09056,1.09200,8915
2020-04-13 18:00,1.09197,1.09236,1.09166,1.09221,7667
2020-04-13 19:00,1.09221,1.09234,1.09126,1.09169,5738
2020-04-13 20:00,1.09169,1.09172,1.09074,1.09120,2111
2020-04-13 21:00,1.09109,1.09141,1.09029,1.09071,1502
2020-04-13 22:00,1.09073,1.09158,1.09064,1.09147,3377
2020-04-13 23:00,1.09148,1.09259,1.09145,1.09198,2529
2020-04-14 00:00,1.09197,1.09276,1.09164,1.09229,7275
2020-04-14 01:00,1.09230,1.09387,1.09166,1.09371,9163
2020-04-14 02:00,1.09373,1.09478,1.09365,1.09471,9115
2020-04-14 03:00,1.09470,1.09487,1.09425,1.09468,4719
2020-04-14 04:00,1.09469,1.09486,1.09410,1.09434,5603
2020-04-14 05:00,1.09435,1.09472,1.09372,1.09387,6408
2020-04-14 06:00,1.09388,1.09429,1.09241,1.09288,11528
2020-04-14 07:00,1.09287,1.09375,1.09248,1.09316,12267
2020-04-14 08:00,1.09317,1.09329,1.09149,1.09229,11515
2020-04-14 09:00,1.09227,1.09575,1.09199,1.09461,13528
2020-04-14 10:00,1.09460,1.09505,1.09376,1.09435,11264
2020-04-14 11:00,1.09435,1.09658,1.09411,1.09637,12270
2020-04-14 12:00,1.09638,1.09761,1.09562,1.09708,15887
2020-04-14 13:00,1.09709,1.09711,1.09550,1.09606,19260
2020-04-14 14:00,1.09604,1.09841,1.09601,1.09696,19811
2020-04-14 15:00,1.09697,1.09703,1.09549,1.09700,13950
2020-04-14 16:00,1.09701,1.09732,1.09615,1.09649,8122
2020-04-14 17:00,1.09648,1.09839,1.09640,1.09835,8019
2020-04-14 18:00,1.09834,1.09845,1.09706,1.09810,9142
2020-04-14 19:00,1.09808,1.09871,1.09785,1.09857,8158
2020-04-14 20:00,1.09856,1.09865,1.09793,1.09798,2799
2020-04-14 21:00,1.09794,1.09907,1.09767,1.09820,2894
2020-04-14 22:00,1.09822,1.09893,1.09821,1.09834,2193
2020-04-14 23:00,1.09837,1.09879,1.09832,1.09834,1976
2020-04-15 00:00,1.09832,1.09872,1.09805,1.09859,4238
2020-04-15 01:00,1.09859,1.09868,1.09807,1.09863,6104
2020-04-15 02:00,1.09865,1.09872,1.09801,1.09811,4145
2020-04-15 03:00,1.09811,1.09821,1.09744,1.09772,3224
2020-04-15 04:00,1.09772,1.09788,1.09733,1.09752,2974
2020-04-15 05:00,1.09750,1.09761,1.09629,1.09632,4243
2020-04-15 06:00,1.09631,1.09686,1.09569,1.09584,12081
2020-04-15 07:00,1.09585,1.09677,1.09285,1.09295,16024
2020-04-15 08:00,1.09295,1.09395,1.09204,1.09324,16193
2020-04-15 09:00,1.09324,1.09388,1.09260,1.09341,13041
